Date,KOSPI_Now,filter_smo,wrapper_smo,filter_linear,wrapper_linear,filter_mlp,wrapper_mlp,filter_gaussian,wrapper_gaussian
2016.4.15,2014.71,        812      -0.2785      -0.4432      -0.1647,        812      -0.2785      -0.8583      -0.5798,        812      -0.2785      -0.5746      -0.2962,        812      -0.2785      -0.7264      -0.4479,        812      -0.2785      -0.9802      -0.7018,        812      -0.2785      -5.1226      -4.8441,        812      -0.2785      -0.3233      -0.0449,        812      -0.2785      -0.2816      -0.0031
2016.4.18,2009.1,        813       0.1125       0.9513       0.8388,        813       0.1125       2.3327       2.2202,        813       0.1125       1.0307       0.9182,        813       0.1125       1.6524       1.5399,        813       0.1125       0.5882       0.4757,        813       0.1125       0.2284        0.116,        813       0.1125       0.6226       0.5101,        813       0.1125        0.886       0.7735
2016.4.19,2011.36,        814      -0.2749       0.5291        0.804,        814      -0.2749      -0.1566       0.1183,        814      -0.2749       0.6134       0.8883,        814      -0.2749        0.138        0.413,        814      -0.2749       0.1841        0.459,        814      -0.2749      -0.3519      -0.0769,        814      -0.2749       0.2315       0.5065,        814      -0.2749       0.3337       0.6086
2016.4.20,2005.83,        815       0.8111       0.5052      -0.3059,        815       0.8111       0.1369      -0.6742,        815       0.8111       0.6292      -0.1819,        815       0.8111       0.6096      -0.2015,        815       0.8111       1.7249       0.9138,        815       0.8111      -1.5664      -2.3776,        815       0.8111       0.3343      -0.4769,        815       0.8111       0.1848      -0.6264
2016.4.21,2022.1,        816      -0.3269      -0.4058      -0.0789,        816      -0.3269       0.1919       0.5188,        816      -0.3269      -0.2879        0.039,        816      -0.3269       0.1959       0.5228,        816      -0.3269      -1.7414      -1.4145,        816      -0.3269      -0.2252       0.1017,        816      -0.3269      -0.1539        0.173,        816      -0.3269      -0.1856       0.1412
2016.4.22,2015.49,        817      -0.0466      -0.1625      -0.1158,        817      -0.0466      -0.5392      -0.4926,        817      -0.0466      -0.1394      -0.0928,        817      -0.0466      -1.0752      -1.0285,        817      -0.0466      -0.9632      -0.9166,        817      -0.0466      -2.5108      -2.4641,        817      -0.0466      -0.1467      -0.1001,        817      -0.0466      -0.2588      -0.2122
2016.4.25,2014.55,        818       0.2522       0.0049      -0.2473,        818       0.2522       0.0882      -0.1639,        818       0.2522      -0.0304      -0.2826,        818       0.2522       0.0677      -0.1845,        818       0.2522      -0.3404      -0.5925,        818       0.2522      -0.0059      -0.2581,        818       0.2522      -0.1019      -0.3541,        818       0.2522      -0.0637      -0.3159
2016.4.26,2019.63,        819      -0.2094        0.079       0.2884,        819      -0.2094       0.3251       0.5345,        819      -0.2094       0.2708       0.4803,        819      -0.2094      -0.5218      -0.3123,        819      -0.2094      -0.9412      -0.7317,        819      -0.2094       0.0646        0.274,        819      -0.2094       0.0503       0.2597,        819      -0.2094        0.195       0.4045
2016.4.27,2015.4,        820       -0.718      -0.3963       0.3216,        820       -0.718      -1.2808      -0.5628,        820       -0.718      -0.5013       0.2167,        820       -0.718      -0.2396       0.4784,        820       -0.718      -0.9712      -0.2532,        820       -0.718      -1.9742      -1.2562,        820       -0.718      -0.1567       0.5613,        820       -0.718       -0.112       0.6059
2016.4.28,2000.93,        821      -0.3388       0.1423       0.4811,        821      -0.3388       0.4033       0.7421,        821      -0.3388      -0.1213       0.2176,        821      -0.3388       0.1347       0.4736,        821      -0.3388      -0.8212      -0.4823,        821      -0.3388      -6.6764      -6.3376,        821      -0.3388      -0.0751       0.2638,        821      -0.3388      -0.2022       0.1366
