@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute MOEX_Now numeric
@attribute MOEX_Open numeric
@attribute MOEX_High numeric
@attribute MOEX_Low numeric
@attribute IBEX_Now numeric
@attribute IBEX_Open numeric
@attribute IBEX_High numeric
@attribute IBEX_Low numeric
@attribute FTSE_Now_y numeric
@attribute FTSE_Open_y numeric
@attribute FTSE_High_y numeric
@attribute FTSE_Low_y numeric
@attribute S&P_TSX_Now numeric
@attribute S&P_TSX_Open numeric
@attribute S&P_TSX_High numeric
@attribute S&P_TSX_Low numeric
@attribute BEL_High numeric
@attribute BEL_Low numeric

@data
2017-08-01, 2422.96, 1919.53, 1917.34, 1930.27, 1904.56, 10502.2, 10536.6, 10593.9, 10495.4, 21486.91, 21441.65, 21588.34, 21441.53, 15143.87, 15149.98, 15207.73, 15140.03, 3965.29, 3940.96
2017-08-02, 2427.63, 1940.14, 1924.77, 1948.62, 1924.77, 10586.7, 10613.4, 10622.2, 10510.9, 21612.81, 21543.1, 21612.81, 21471.09, 15202.1, 15192.12, 15228.95, 15052.41, 3967.08, 3940.5
2017-08-03, 2386.85, 1965.48, 1940.95, 1966.97, 1940.77, 10513.9, 10592.3, 10607.8, 10493.1, 21573.61, 21636.7, 21659.42, 21507.06, 15265.63, 15203.94, 15272.26, 15195.52, 3975.07, 3925.83
2017-08-04, 2395.45, 1965.29, 1965.56, 1976.36, 1961.38, 10549.1, 10487.2, 10553.8, 10416.9, 21793.72, 21626.59, 21793.72, 21525.12, 15191.96, 15297.23, 15324.56, 15176.62, 3951.56, 3917.47
2017-08-07, 2398.75, 1953.49, 1962.46, 1962.46, 1950.57, 10658.4, 10525.0, 10696.1, 10516.4, 21935.79, 21774.41, 21961.74, 21722.4, 15257.97, 15247.36, 15261.47, 15198.53, 3974.95, 3932.45
2017-08-08, 2394.73, 1970.37, 1953.62, 1970.96, 1953.62, 10676.5, 10682.8, 10689.8, 10643.5, 22031.17, 21978.01, 22035.54, 21942.47, 15257.16, 15257.37, 15274.23, 15205.565, 3973.09, 3949.19
2017-08-09, 2368.39, 1989.61, 1970.3, 1989.77, 1969.75, 10734.7, 10674.4, 10758.2, 10665.2, 22048.3, 22002.15, 22065.42, 21947.02, 15256.35, 15267.38, 15286.99, 15212.6, 3966.1, 3946.28
2017-08-10, 2359.47, 1975.91, 1985.31, 1987.95, 1973.08, 10596.0, 10681.4, 10705.9, 10525.1, 21848.37, 21925.64, 21958.39, 21745.72, 15217.33, 15247.86, 15287.94, 15191.72, 3946.8, 3902.09
2017-08-11, 2319.71, 1960.23, 1977.15, 1983.74, 1959.05, 10450.0, 10576.6, 10584.3, 10416.7, 21681.61, 21836.58, 21867.29, 21647.07, 15074.25, 15197.98, 15209.55, 15056.84, 3938.56, 3886.12
2017-08-14, 2334.22, 1944.83, 1953.56, 1953.56, 1933.69, 10282.9, 10377.3, 10399.0, 10252.4, 21354.02, 21558.29, 21569.98, 21329.21, 15033.38, 15038.46, 15068.66, 14995.25, 3883.39, 3849.5
2017-08-16, 2348.26, 1951.75, 1947.69, 1960.38, 1946.67, 10461.2, 10329.4, 10490.6, 10329.3, 21722.11, 21476.37, 21778.61, 21467.53, 15119.91, 15087.1, 15196.13, 15080.24, 3919.36, 3883.95
